city,role,station_id,valid_date,precip_station_mm,completeness_pc,qc_flags,precip_obs_mm,gauge_flagged
la_serena,primary,LSC,2026-07-05,0.0,100,,0.0,False
la_serena,primary,LSC,2026-07-06,0.0,100,,0.0,False
la_serena,primary,LSC,2026-07-07,0.0,100,,0.0,False
la_serena,primary,LSC,2026-07-08,0.0,100,,0.0,False
la_serena,primary,LSC,2026-07-09,0.0,100,,0.0,False
la_serena,primary,LSC,2026-07-10,0.0,100,,0.0,False
la_serena,primary,LSC,2026-07-11,0.0,100,,0.0,False
la_serena,primary,LSC,2026-07-12,0.0,100,,0.0,False
la_serena,primary,LSC,2026-07-13,0.0,100,,0.0,False
la_serena,primary,LSC,2026-07-14,0.0,100,,0.6,False
la_serena,primary,LSC,2026-07-15,0.0,100,,0.0,False
la_serena,primary,LSC,2026-07-16,6.4,100,,23.3,False
la_serena,primary,LSC,2026-07-17,21.7,100,,102.8,False
la_serena,primary,LSC,2026-07-18,25.8,100,,74.2,False
la_serena,primary,LSC,2026-07-19,67.3,100,,59.9,False
la_serena,primary,LSC,2026-07-20,7.2,100,,24.1,False
la_serena,primary,LSC,2026-07-24,0.0,100,,0.0,False
la_serena,primary,LSC,2026-07-25,0.0,100,,0.0,False
vicuna,primary,6,2026-07-05,0.0,100,,0.0,False
vicuna,primary,6,2026-07-06,0.0,100,,0.0,False
vicuna,primary,6,2026-07-07,0.0,100,,0.0,False
vicuna,primary,6,2026-07-08,0.0,100,,0.0,False
vicuna,primary,6,2026-07-09,0.0,100,,0.0,False
vicuna,primary,6,2026-07-10,0.0,100,,0.0,False
vicuna,primary,6,2026-07-11,0.0,100,,0.0,False
vicuna,primary,6,2026-07-12,0.0,100,,0.0,False
vicuna,primary,6,2026-07-13,0.0,100,,0.0,False
vicuna,primary,6,2026-07-14,0.1,100,,0.0,False
vicuna,primary,6,2026-07-15,0.0,100,,0.0,False
vicuna,primary,6,2026-07-16,15.9,100,,6.1,False
vicuna,primary,6,2026-07-17,22.8,100,,52.7,False
vicuna,primary,6,2026-07-18,48.1,100,,67.6,False
vicuna,primary,6,2026-07-19,49.0,100,,70.8,False
vicuna,primary,6,2026-07-20,13.4,100,,46.8,False
vicuna,primary,6,2026-07-21,15.3,100,,23.1,False
vicuna,primary,6,2026-07-22,0.0,100,,0.0,False
vicuna,primary,6,2026-07-23,0.1,100,,1.3,False
vicuna,primary,6,2026-07-24,0.0,100,,0.1,False
vicuna,primary,6,2026-07-25,0.0,100,,0.0,False
andacollo,primary,ANDA,2026-07-05,0.0,100,,0.0,False
andacollo,primary,ANDA,2026-07-06,0.0,100,,0.0,False
andacollo,primary,ANDA,2026-07-07,0.0,100,,0.0,False
