#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:43:08
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-08-01 00:00:00, end_date: 2026-08-08 01:43:10, gmt: gmt-4
#e_cod,s_cod,tf_nombre,um_notacion,s_altura,s_ultima_lectura,
INIA66,INIA1523,Temperatura del Aire,°C,1.5,2026-08-08 01:00:00,
INIA66,INIA1526,Humedad Relativa,%,1.5,2026-08-08 01:00:00,
INIA66,INIA1534,Velocidad de Viento,m/s,2,2026-08-08 01:00:00,
INIA66,INIA1536,Dirección de viento,°,2,2026-08-08 01:00:00,
INIA66,INIA1529,Radiación Solar,W/m²,2,2026-08-08 01:00:00,
INIA66,INIA1533,Precipitación,mm,1.5,2026-08-08 01:00:00,
INIA66,INIA66set0,Evapotranspiración,mm,0.1,2026-08-05 00:00:00,
INIA66,INIA66shf7,Horas Frio Base 7,hf,2,2026-08-05 00:00:00,
INIA66,INIA66sufu,Unidades de Frio Utah,hf,2,2026-08-05 23:00:00,
INIA66,INIA66sgd10,Grados Dia Base 10,gd,2,2026-08-05 00:00:00,
INIA66,INIA1780,Batería,V,1.5,2015-06-12 07:45:00,
