#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:38:42
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-08-01 00:00:00, end_date: 2026-08-08 01:38:44, gmt: gmt-4
#e_cod,s_cod,tf_nombre,um_notacion,s_altura,s_ultima_lectura,
4,19,Temperatura del Aire,°C,1.5,2026-08-08 01:00:00,
4,20,Humedad Relativa,%,1.5,2026-08-08 01:00:00,
4,16,Velocidad de Viento,m/s,2,2026-08-08 01:00:00,
4,1117733106,Velocidad de Viento,m/s,5,2026-08-08 01:00:00,
4,17,Dirección de viento,°,2,2026-08-08 01:00:00,
4,-858270069,Dirección de viento,°,5,2026-08-08 01:00:00,
4,18,Radiación Solar,W/m²,2,2025-07-18 12:00:00,
4,PNLPA,Presión Atmosférica,hPa,2,2026-08-08 01:00:00,
4,15,Precipitación,mm,1.5,2026-08-08 01:00:00,
4,22,Temperatura de Suelo,°C,-0.5,2026-08-08 01:00:00,
4,21,Temperatura de Suelo,°C,-0.1,2026-08-08 01:00:00,
4,4set0,Evapotranspiración,mm,0.1,2024-09-25 00:00:00,
4,PNLTPR,Punto de Rocío,°C,2,2026-08-08 01:00:00,
4,4shf7,Horas Frio Base 7,hf,2,2026-08-05 00:00:00,
4,4sufu,Unidades de Frio Utah,hf,2,2026-08-05 23:00:00,
4,4sgd10,Grados Dia Base 10,gd,2,2026-08-05 00:00:00,
4,PNLBT,Batería,V,1.5,2026-08-08 01:00:00,
