#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:39:27
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-07-01, end_date: 2026-07-20, sensor_code: 5, gmt: gmt-4
#s_cod,ultima_lectura,min,prom,max,data_pc
5,2026-07-01 00:00:00,0,0,0,100
5,2026-07-02 00:00:00,0,0,0,100
5,2026-07-03 00:00:00,0,0,0,100
5,2026-07-04 00:00:00,0,0,0,100
5,2026-07-05 00:00:00,0,0,0,100
5,2026-07-06 00:00:00,0,0,0,100
5,2026-07-07 00:00:00,0,0,0,100
5,2026-07-08 00:00:00,0,0,0,95
5,2026-07-09 00:00:00,0,0,0,100
5,2026-07-10 00:00:00,0,0,0,100
5,2026-07-11 00:00:00,0,0,0,100
5,2026-07-12 00:00:00,0.1,0.1,0.1,100
5,2026-07-13 00:00:00,0.1,0.1,0.1,100
5,2026-07-14 00:00:00,0,0,0,41
5,2026-07-15 00:00:00,0,0,0,45
5,2026-07-16 00:00:00,17.3,17.3,17.3,100
5,2026-07-17 00:00:00,35.6,35.6,35.6,100
5,2026-07-18 00:00:00,50.6,50.6,50.6,100
5,2026-07-19 00:00:00,65.3,65.3,65.3,100
5,2026-07-20 00:00:00,11,11,11,100
