#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:39:49
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-07-01, end_date: 2026-07-20, sensor_code: 35, gmt: gmt-4
#s_cod,ultima_lectura,min,prom,max,data_pc
35,2026-07-01 00:00:00,0,0,0,100
35,2026-07-02 00:00:00,0.1,0.1,0.1,100
35,2026-07-03 00:00:00,0,0,0,100
35,2026-07-04 00:00:00,0,0,0,100
35,2026-07-05 00:00:00,0,0,0,100
35,2026-07-06 00:00:00,0,0,0,100
35,2026-07-07 00:00:00,0,0,0,100
35,2026-07-08 00:00:00,0,0,0,100
35,2026-07-09 00:00:00,0,0,0,100
35,2026-07-10 00:00:00,0,0,0,100
35,2026-07-11 00:00:00,0,0,0,100
35,2026-07-12 00:00:00,0,0,0,100
35,2026-07-13 00:00:00,0,0,0,100
35,2026-07-14 00:00:00,0.1,0.1,0.1,100
35,2026-07-15 00:00:00,0,0,0,100
35,2026-07-16 00:00:00,15.9,15.9,15.9,100
35,2026-07-17 00:00:00,22.8,22.8,22.8,100
35,2026-07-18 00:00:00,48.1,48.1,48.1,100
35,2026-07-19 00:00:00,49,49,49,100
35,2026-07-20 00:00:00,13.4,13.4,13.4,100
