city,valid_date,model,lead_days,precip_fcst_mm,gust_fcst_kmh,precip_obs_mm,gust_obs_kmh
andacollo,2026-07-06,best_match,1,0.0,22.7,0.0,12.6
andacollo,2026-07-06,best_match,2,0.0,22.7,0.0,12.6
andacollo,2026-07-06,best_match,3,0.0,27.7,0.0,12.6
andacollo,2026-07-06,best_match,4,0.0,22.7,0.0,12.6
andacollo,2026-07-06,best_match,5,0.0,25.6,0.0,12.6
andacollo,2026-07-06,best_match,6,0.0,22.7,0.0,12.6
andacollo,2026-07-06,best_match,7,0.0,6.5,0.0,12.6
andacollo,2026-07-06,ecmwf_ifs025,1,0.0,,0.0,12.6
andacollo,2026-07-06,ecmwf_ifs025,2,0.0,,0.0,12.6
andacollo,2026-07-06,ecmwf_ifs025,3,0.0,,0.0,12.6
andacollo,2026-07-06,ecmwf_ifs025,4,0.0,,0.0,12.6
andacollo,2026-07-06,ecmwf_ifs025,5,0.0,,0.0,12.6
andacollo,2026-07-06,ecmwf_ifs025,6,0.0,,0.0,12.6
andacollo,2026-07-06,ecmwf_ifs025,7,0.0,,0.0,12.6
andacollo,2026-07-06,gfs_seamless,1,0.0,9.7,0.0,12.6
andacollo,2026-07-06,gfs_seamless,2,0.0,9.7,0.0,12.6
andacollo,2026-07-06,gfs_seamless,3,0.0,8.3,0.0,12.6
andacollo,2026-07-06,gfs_seamless,4,0.0,7.9,0.0,12.6
andacollo,2026-07-06,gfs_seamless,5,0.0,8.3,0.0,12.6
andacollo,2026-07-06,gfs_seamless,6,0.0,6.8,0.0,12.6
andacollo,2026-07-06,gfs_seamless,7,0.0,6.5,0.0,12.6
andacollo,2026-07-06,icon_seamless,1,0.0,22.7,0.0,12.6
andacollo,2026-07-06,icon_seamless,2,0.0,22.7,0.0,12.6
andacollo,2026-07-06,icon_seamless,3,0.0,27.7,0.0,12.6
andacollo,2026-07-06,icon_seamless,4,0.0,22.7,0.0,12.6
andacollo,2026-07-06,icon_seamless,5,0.0,25.6,0.0,12.6
andacollo,2026-07-06,icon_seamless,6,0.0,22.7,0.0,12.6
andacollo,2026-07-07,best_match,1,0.0,23.4,0.0,10.4
andacollo,2026-07-07,best_match,2,0.0,24.1,0.0,10.4
andacollo,2026-07-07,best_match,3,0.0,25.2,0.0,10.4
andacollo,2026-07-07,best_match,4,0.0,23.0,0.0,10.4
andacollo,2026-07-07,best_match,5,0.0,24.1,0.0,10.4
andacollo,2026-07-07,best_match,6,0.0,25.6,0.0,10.4
andacollo,2026-07-07,best_match,7,0.0,7.6,0.0,10.4
andacollo,2026-07-07,ecmwf_ifs025,1,0.0,,0.0,10.4
andacollo,2026-07-07,ecmwf_ifs025,2,0.0,,0.0,10.4
andacollo,2026-07-07,ecmwf_ifs025,3,0.0,,0.0,10.4
andacollo,2026-07-07,ecmwf_ifs025,4,0.0,,0.0,10.4
andacollo,2026-07-07,ecmwf_ifs025,5,0.0,,0.0,10.4
andacollo,2026-07-07,ecmwf_ifs025,6,0.0,,0.0,10.4
andacollo,2026-07-07,ecmwf_ifs025,7,0.0,,0.0,10.4
andacollo,2026-07-07,gfs_seamless,1,0.0,8.3,0.0,10.4
andacollo,2026-07-07,gfs_seamless,2,0.0,8.3,0.0,10.4
andacollo,2026-07-07,gfs_seamless,3,0.0,9.7,0.0,10.4
andacollo,2026-07-07,gfs_seamless,4,0.0,9.0,0.0,10.4
andacollo,2026-07-07,gfs_seamless,5,0.0,7.9,0.0,10.4
andacollo,2026-07-07,gfs_seamless,6,0.0,6.8,0.0,10.4
andacollo,2026-07-07,gfs_seamless,7,0.0,7.6,0.0,10.4
andacollo,2026-07-07,icon_seamless,1,0.0,23.4,0.0,10.4
andacollo,2026-07-07,icon_seamless,2,0.0,24.1,0.0,10.4
andacollo,2026-07-07,icon_seamless,3,0.0,25.2,0.0,10.4
andacollo,2026-07-07,icon_seamless,4,0.0,23.0,0.0,10.4
andacollo,2026-07-07,icon_seamless,5,0.0,24.1,0.0,10.4
andacollo,2026-07-07,icon_seamless,6,0.0,25.6,0.0,10.4
andacollo,2026-07-08,best_match,1,0.0,24.1,0.0,11.9
andacollo,2026-07-08,best_match,2,0.0,24.8,0.0,11.9
andacollo,2026-07-08,best_match,3,0.0,22.7,0.0,11.9
andacollo,2026-07-08,best_match,4,0.0,24.1,0.0,11.9
andacollo,2026-07-08,best_match,5,0.0,29.2,0.0,11.9
andacollo,2026-07-08,best_match,6,0.0,35.3,0.0,11.9
andacollo,2026-07-08,best_match,7,0.0,5.8,0.0,11.9
andacollo,2026-07-08,ecmwf_ifs025,1,0.0,,0.0,11.9
andacollo,2026-07-08,ecmwf_ifs025,2,0.0,,0.0,11.9
andacollo,2026-07-08,ecmwf_ifs025,3,0.0,,0.0,11.9
andacollo,2026-07-08,ecmwf_ifs025,4,0.0,,0.0,11.9
andacollo,2026-07-08,ecmwf_ifs025,5,0.0,,0.0,11.9
andacollo,2026-07-08,ecmwf_ifs025,6,0.0,,0.0,11.9
andacollo,2026-07-08,ecmwf_ifs025,7,0.0,,0.0,11.9
andacollo,2026-07-08,gfs_seamless,1,0.0,8.6,0.0,11.9
andacollo,2026-07-08,gfs_seamless,2,0.0,10.8,0.0,11.9
